County and state,Date,COVID in wastewater
"Hampshire, MA",8/16/23,418
"Hampshire, MA",8/17/23,399
"Hampshire, MA",8/18/23,380
"Hampshire, MA",8/19/23,360
"Hampshire, MA",8/20/23,341
"Hampshire, MA",8/21/23,322
"Hampshire, MA",8/22/23,302
"Hampshire, MA",8/23/23,283
"Hampshire, MA",8/24/23,295
"Hampshire, MA",8/25/23,308
"Hampshire, MA",8/26/23,320
"Hampshire, MA",8/27/23,333
"Hampshire, MA",8/28/23,345
"Hampshire, MA",8/29/23,358
"Hampshire, MA",8/30/23,370
"Hampshire, MA",8/31/23,431
"Hampshire, MA",9/1/23,492
"Hampshire, MA",9/2/23,553
"Hampshire, MA",9/3/23,613
"Hampshire, MA",9/4/23,674
"Hampshire, MA",9/5/23,735
"Hampshire, MA",9/6/23,796
"Hampshire, MA",9/7/23,862
"Hampshire, MA",9/8/23,928
"Hampshire, MA",9/9/23,993
"Hampshire, MA",9/10/23,1059
"Hampshire, MA",9/11/23,1125
"Hampshire, MA",9/12/23,1191
"Hampshire, MA",9/13/23,1257
"Hampshire, MA",9/14/23,1295
"Hampshire, MA",9/15/23,1333
"Hampshire, MA",9/16/23,1370
"Hampshire, MA",9/17/23,1408
"Hampshire, MA",9/18/23,1446
"Hampshire, MA",9/19/23,1484
"Hampshire, MA",9/20/23,1522
"Hampshire, MA",9/21/23,1515
"Hampshire, MA",9/22/23,1508
"Hampshire, MA",9/23/23,1501
"Hampshire, MA",9/24/23,1494
"Hampshire, MA",9/25/23,1487
"Hampshire, MA",9/26/23,1480
"Hampshire, MA",9/27/23,1473
"Plymouth, MA",8/16/23,617
"Plymouth, MA",8/17/23,652
"Plymouth, MA",8/18/23,688
"Plymouth, MA",8/19/23,723
"Plymouth, MA",8/20/23,759
"Plymouth, MA",8/21/23,795
"Plymouth, MA",8/22/23,830
"Plymouth, MA",8/23/23,866
"Plymouth, MA",8/24/23,966
"Plymouth, MA",8/25/23,1067
"Plymouth, MA",8/26/23,1167
"Plymouth, MA",8/27/23,1267
"Plymouth, MA",8/28/23,1367
"Plymouth, MA",8/29/23,1468
"Plymouth, MA",8/30/23,1568
"Plymouth, MA",8/31/23,1489
"Plymouth, MA",9/1/23,1409
"Plymouth, MA",9/2/23,1329
"Plymouth, MA",9/3/23,1250
"Plymouth, MA",9/4/23,1171
"Plymouth, MA",9/5/23,1091
"Plymouth, MA",9/6/23,1011
"Plymouth, MA",9/7/23,989
"Plymouth, MA",9/8/23,967
"Plymouth, MA",9/9/23,945
"Plymouth, MA",9/10/23,922
"Plymouth, MA",9/11/23,900
"Plymouth, MA",9/12/23,877
"Plymouth, MA",9/13/23,855
"Plymouth, MA",9/14/23,857
"Plymouth, MA",9/15/23,858
"Plymouth, MA",9/16/23,860
"Plymouth, MA",9/17/23,862
"Plymouth, MA",9/18/23,864
"Plymouth, MA",9/19/23,866
"Plymouth, MA",9/20/23,868
"Plymouth, MA",9/21/23,813
"Plymouth, MA",9/22/23,757
"Plymouth, MA",9/23/23,702
"Plymouth, MA",9/24/23,647
"Plymouth, MA",9/25/23,593
"Plymouth, MA",9/26/23,539
"Plymouth, MA",9/27/23,485
"Suffolk, MA",8/16/23,404
"Suffolk, MA",8/17/23,413
"Suffolk, MA",8/18/23,423
"Suffolk, MA",8/19/23,433
"Suffolk, MA",8/20/23,443
"Suffolk, MA",8/21/23,453
"Suffolk, MA",8/22/23,463
"Suffolk, MA",8/23/23,473
"Suffolk, MA",8/24/23,492
"Suffolk, MA",8/25/23,512
"Suffolk, MA",8/26/23,531
"Suffolk, MA",8/27/23,550
"Suffolk, MA",8/28/23,569
"Suffolk, MA",8/29/23,588
"Suffolk, MA",8/30/23,608
"Suffolk, MA",8/31/23,620
"Suffolk, MA",9/1/23,631
"Suffolk, MA",9/2/23,642
"Suffolk, MA",9/3/23,653
"Suffolk, MA",9/4/23,665
"Suffolk, MA",9/5/23,677
"Suffolk, MA",9/6/23,689
"Suffolk, MA",9/7/23,686
"Suffolk, MA",9/8/23,682
"Suffolk, MA",9/9/23,679
"Suffolk, MA",9/10/23,676
"Suffolk, MA",9/11/23,673
"Suffolk, MA",9/12/23,670
"Suffolk, MA",9/13/23,666
"Suffolk, MA",9/14/23,656
"Suffolk, MA",9/15/23,645
"Suffolk, MA",9/16/23,634
"Suffolk, MA",9/17/23,624
"Suffolk, MA",9/18/23,614
"Suffolk, MA",9/19/23,604
"Suffolk, MA",9/20/23,594
"Suffolk, MA",9/21/23,600
"Suffolk, MA",9/22/23,605
"Suffolk, MA",9/23/23,611
"Suffolk, MA",9/24/23,617
"Suffolk, MA",9/25/23,622
"Suffolk, MA",9/26/23,627
"Suffolk, MA",9/27/23,633
"Worcester, MA",8/16/23,703
"Worcester, MA",8/17/23,743
"Worcester, MA",8/18/23,784
"Worcester, MA",8/19/23,824
"Worcester, MA",8/20/23,864
"Worcester, MA",8/21/23,904
"Worcester, MA",8/22/23,944
"Worcester, MA",8/23/23,984
"Worcester, MA",8/24/23,991
"Worcester, MA",8/25/23,998
"Worcester, MA",8/26/23,1004
"Worcester, MA",8/27/23,1011
"Worcester, MA",8/28/23,1018
"Worcester, MA",8/29/23,1025
"Worcester, MA",8/30/23,1031
"Worcester, MA",8/31/23,1049
"Worcester, MA",9/1/23,1067
"Worcester, MA",9/2/23,1085
"Worcester, MA",9/3/23,1104
"Worcester, MA",9/4/23,1123
"Worcester, MA",9/5/23,1141
"Worcester, MA",9/6/23,1160
"Worcester, MA",9/7/23,1144
"Worcester, MA",9/8/23,1127
"Worcester, MA",9/9/23,1111
"Worcester, MA",9/10/23,1095
"Worcester, MA",9/11/23,1079
"Worcester, MA",9/12/23,1063
"Worcester, MA",9/13/23,1047
"Worcester, MA",9/14/23,1096
"Worcester, MA",9/15/23,1144
"Worcester, MA",9/16/23,1193
"Worcester, MA",9/17/23,1242
"Worcester, MA",9/18/23,1291
"Worcester, MA",9/19/23,1339
"Worcester, MA",9/20/23,1388
"Worcester, MA",9/21/23,1610
"Worcester, MA",9/22/23,1831
"Worcester, MA",9/23/23,2053
"Worcester, MA",9/24/23,2275
"Worcester, MA",9/25/23,2497
"Worcester, MA",9/26/23,2791
"Worcester, MA",9/27/23,2941
